features,type,mutable,min,max
bytes_in_sum_s_1,int,False,0.0,2324.0
bytes_in_min_s_1,int,False,0.0,504.0
bytes_in_max_s_1,int,False,0.0,1820.0
bytes_out_sum_s_1,int,True,dynamic,22690.0
bytes_out_min_s_1,int,True,dynamic,22690.0
bytes_out_max_s_1,int,True,dynamic,22690.0
pkts_in_sum_s_1,int,False,0.0,86.0
pkts_in_min_s_1,int,False,0.0,24.0
pkts_in_max_s_1,int,False,0.0,62.0
pkts_out_sum_s_1,int,True,dynamic,122.0
pkts_out_min_s_1,int,True,dynamic,122.0
pkts_out_max_s_1,int,True,dynamic,122.0
duration_sum_s_1,real,True,dynamic,922.24685
duration_min_s_1,real,True,dynamic,459.635068
duration_max_s_1,real,True,dynamic,462.611782
tcp_sum_s_1,int,True,dynamic,3571.0
udp_sum_s_1,int,True,dynamic,1056.0
icmp_sum_s_1,int,True,dynamic,22690.0
distinct_external_ips_s_1,int,False,0.0,8.0
distinct_src_port_s_1,int,False,0.0,2.0
distinct_dst_port_s_1,int,False,0.0,1.0
bytes_in_sum_d_1,int,False,0.0,1893.0
bytes_in_min_d_1,int,False,0.0,1893.0
bytes_in_max_d_1,int,False,0.0,1893.0
bytes_out_sum_d_1,int,True,dynamic,33964.0
bytes_out_min_d_1,int,True,dynamic,33964.0
bytes_out_max_d_1,int,True,dynamic,33964.0
pkts_in_sum_d_1,int,False,0.0,12.0
pkts_in_min_d_1,int,False,0.0,12.0
pkts_in_max_d_1,int,False,0.0,12.0
pkts_out_sum_d_1,int,True,dynamic,1213.0
pkts_out_min_d_1,int,True,dynamic,1213.0
pkts_out_max_d_1,int,True,dynamic,1213.0
duration_sum_d_1,real,True,dynamic,12329.652756
duration_min_d_1,real,True,dynamic,12329.652756
duration_max_d_1,real,True,dynamic,12329.652756
tcp_sum_d_1,int,True,dynamic,5042.0
udp_sum_d_1,int,True,dynamic,0.0
icmp_sum_d_1,int,True,dynamic,33964.0
distinct_external_ips_d_1,int,False,0.0,20.0
distinct_src_port_d_1,int,False,0.0,2.0
distinct_dst_port_d_1,int,False,0.0,1.0
bytes_in_sum_s_3,int,False,0.0,0.0
bytes_in_min_s_3,int,False,0.0,0.0
bytes_in_max_s_3,int,False,0.0,0.0
bytes_out_sum_s_3,int,True,dynamic,10272.0
bytes_out_min_s_3,int,True,dynamic,6328.0
bytes_out_max_s_3,int,True,dynamic,10272.0
pkts_in_sum_s_3,int,False,0.0,0.0
pkts_in_min_s_3,int,False,0.0,0.0
pkts_in_max_s_3,int,False,0.0,0.0
pkts_out_sum_s_3,int,True,dynamic,170.0
pkts_out_min_s_3,int,True,dynamic,113.0
pkts_out_max_s_3,int,True,dynamic,169.0
duration_sum_s_3,real,True,dynamic,1315.2496700000004
duration_min_s_3,real,True,dynamic,1168.133697
duration_max_s_3,real,True,dynamic,1168.133697
tcp_sum_s_3,int,True,dynamic,0.0
udp_sum_s_3,int,True,dynamic,0.0
icmp_sum_s_3,int,True,dynamic,10272.0
distinct_external_ips_s_3,int,False,0.0,47.0
